Date,TempAvg,
2016/1/1,7.78 ,
2016/1/2,7.22 ,
2016/1/3,11.11 ,
2016/1/4,8.89 ,
2016/1/5,7.78 ,
2016/1/6,10.00 ,
2016/1/7,16.11 ,
2016/1/8,12.78 ,
2016/1/9,8.89 ,
2016/1/10,5.56 ,
2016/1/11,7.22 ,
2016/1/12,10.00 ,
2016/1/13,11.11 ,
2016/1/14,15.00 ,
2016/1/15,15.00 ,
2016/1/16,12.22 ,
2016/1/17,7.22 ,
2016/1/18,8.89 ,
2016/1/19,13.33 ,
2016/1/20,10.56 ,
2016/1/21,12.22 ,
2016/1/22,7.78 ,
2016/1/23,6.67 ,
2016/1/24,11.67 ,
2016/1/25,18.89 ,
2016/1/26,10.56 ,
2016/1/27,8.89 ,
2016/1/28,11.11 ,
2016/1/29,13.89 ,
2016/1/30,16.67 ,
2016/1/31,22.22 ,
2016/2/1,18.89 ,
2016/2/2,16.67 ,
2016/2/3,9.44 ,
2016/2/4,8.33 ,
2016/2/5,8.89 ,
2016/2/6,10.56 ,
2016/2/7,10.00 ,
2016/2/8,13.33 ,
2016/2/9,13.89 ,
2016/2/10,13.33 ,
2016/2/11,20.00 ,
2016/2/12,17.22 ,
2016/2/13,17.78 ,
2016/2/14,18.89 ,
2016/2/15,16.67 ,
2016/2/16,17.22 ,
2016/2/17,17.22 ,
2016/2/18,19.44 ,
2016/2/19,22.78 ,
2016/2/20,21.67 ,
2016/2/21,20.00 ,
2016/2/22,18.33 ,
2016/2/23,12.22 ,
2016/2/24,12.22 ,
2016/2/25,12.22 ,
2016/2/26,11.67 ,
2016/2/27,14.44 ,
2016/2/28,19.44 ,
2016/2/29,21.11 ,
2016/3/1,21.11 ,
2016/3/2,17.78 ,
2016/3/3,22.78 ,
2016/3/4,16.11 ,
2016/3/5,20.00 ,
2016/3/6,20.00 ,
2016/3/7,21.11 ,
2016/3/8,24.44 ,
2016/3/9,18.33 ,
2016/3/10,16.11 ,
2016/3/11,18.33 ,
2016/3/12,18.89 ,
2016/3/13,21.67 ,
2016/3/14,22.78 ,
2016/3/15,26.67 ,
2016/3/16,21.67 ,
2016/3/17,22.78 ,
2016/3/18,20.00 ,
2016/3/19,12.78 ,
2016/3/20,11.67 ,
2016/3/21,11.11 ,
2016/3/22,16.67 ,
2016/3/23,23.33 ,
2016/3/24,15.00 ,
2016/3/25,13.89 ,
2016/3/26,16.11 ,
2016/3/27,18.33 ,
2016/3/28,16.67 ,
2016/3/29,17.78 ,
2016/3/30,22.78 ,
2016/3/31,24.44 ,
2016/4/1,15.00 ,
2016/4/2,15.56 ,
2016/4/3,16.67 ,
2016/4/4,20.00 ,
2016/4/5,20.00 ,
2016/4/6,20.56 ,
2016/4/7,19.44 ,
2016/4/8,20.00 ,
2016/4/9,20.00 ,
2016/4/10,22.22 ,
2016/4/11,26.67 ,
2016/4/12,20.00 ,
2016/4/13,18.33 ,
2016/4/14,18.89 ,
2016/4/15,19.44 ,
2016/4/16,21.11 ,
2016/4/17,21.67 ,
2016/4/18,20.56 ,
2016/4/19,22.22 ,
2016/4/20,21.67 ,
2016/4/21,22.22 ,
2016/4/22,22.22 ,
2016/4/23,20.56 ,
2016/4/24,21.67 ,
2016/4/25,26.11 ,
2016/4/26,26.11 ,
2016/4/27,24.44 ,
2016/4/28,23.89 ,
2016/4/29,26.67 ,
2016/4/30,24.44 ,
2016/5/1,22.22 ,
2016/5/2,17.78 ,
2016/5/3,19.44 ,
2016/5/4,21.67 ,
2016/5/5,23.33 ,
2016/5/6,21.67 ,
