Date,TempAvg,
2016/1/1,3.33 ,
2016/1/2,2.22 ,
2016/1/3,4.44 ,
2016/1/4,-3.89 ,
2016/1/5,-6.67 ,
2016/1/6,0.56 ,
2016/1/7,3.61 ,
2016/1/8,3.61 ,
2016/1/9,6.39 ,
2016/1/10,9.72 ,
2016/1/11,0.56 ,
2016/1/12,1.39 ,
2016/1/13,-3.33 ,
2016/1/14,-1.11 ,
2016/1/15,5.83 ,
2016/1/16,8.33 ,
2016/1/17,2.22 ,
2016/1/18,-4.17 ,
2016/1/19,-5.56 ,
2016/1/20,0.00 ,
2016/1/21,-0.56 ,
2016/1/22,-3.61 ,
2016/1/23,-3.61 ,
2016/1/24,-2.50 ,
2016/1/25,0.83 ,
2016/1/26,6.11 ,
2016/1/27,4.72 ,
2016/1/28,2.78 ,
2016/1/29,1.94 ,
2016/1/30,0.83 ,
2016/1/31,7.78 ,
2016/2/1,10.83 ,
2016/2/2,6.67 ,
2016/2/3,10.28 ,
2016/2/4,10.83 ,
2016/2/5,3.06 ,
2016/2/6,1.67 ,
2016/2/7,4.44 ,
2016/2/8,0.83 ,
2016/2/9,-0.28 ,
2016/2/10,1.67 ,
2016/2/11,-4.17 ,
2016/2/12,-6.11 ,
2016/2/13,-10.00 ,
2016/2/14,-13.89 ,
2016/2/15,-4.44 ,
2016/2/16,6.94 ,
2016/2/17,2.78 ,
2016/2/18,-0.28 ,
2016/2/19,-0.28 ,
2016/2/20,10.00 ,
2016/2/21,9.72 ,
2016/2/22,7.22 ,
2016/2/23,3.06 ,
2016/2/24,8.89 ,
2016/2/25,9.44 ,
2016/2/26,0.56 ,
2016/2/27,0.83 ,
2016/2/28,9.44 ,
2016/2/29,12.22 ,
2016/3/1,7.50 ,
2016/3/2,5.56 ,
2016/3/3,-0.56 ,
2016/3/4,1.39 ,
2016/3/5,1.39 ,
2016/3/6,3.33 ,
2016/3/7,8.89 ,
2016/3/8,13.89 ,
2016/3/9,15.83 ,
2016/3/10,21.67 ,
2016/3/11,14.44 ,
2016/3/12,9.72 ,
2016/3/13,13.33 ,
2016/3/14,7.50 ,
2016/3/15,10.28 ,
2016/3/16,13.61 ,
2016/3/17,12.22 ,
2016/3/18,9.72 ,
2016/3/19,5.00 ,
2016/3/20,3.06 ,
2016/3/21,5.00 ,
2016/3/22,7.50 ,
2016/3/23,15.28 ,
2016/3/24,9.72 ,
2016/3/25,14.44 ,
2016/3/26,8.06 ,
2016/3/27,9.44 ,
2016/3/28,11.11 ,
2016/3/29,8.06 ,
2016/3/30,8.06 ,
2016/3/31,16.11 ,
2016/4/1,21.11 ,
2016/4/2,12.78 ,
2016/4/3,5.56 ,
2016/4/4,2.78 ,
2016/4/5,1.39 ,
2016/4/6,3.89 ,
2016/4/7,11.67 ,
2016/4/8,7.22 ,
2016/4/9,4.17 ,
2016/4/10,4.72 ,
2016/4/11,12.22 ,
2016/4/12,11.11 ,
2016/4/13,9.44 ,
2016/4/14,11.39 ,
2016/4/15,11.94 ,
2016/4/16,13.06 ,
2016/4/17,15.28 ,
2016/4/18,19.17 ,
2016/4/19,17.78 ,
2016/4/20,15.00 ,
2016/4/21,16.11 ,
2016/4/22,21.39 ,
2016/4/23,16.94 ,
2016/4/24,14.17 ,
2016/4/25,15.28 ,
2016/4/26,11.94 ,
2016/4/27,12.22 ,
2016/4/28,11.94 ,
2016/4/29,10.83 ,
2016/4/30,13.06 ,
2016/5/1,8.89 ,
2016/5/2,11.39 ,
2016/5/3,11.94 ,
2016/5/4,10.00 ,
2016/5/5,10.83 ,
2016/5/6,10.56 ,
2016/5/7,12.22 ,
2016/5/8,14.17 ,
2016/5/9,16.67 ,
2016/5/10,13.61 ,
2016/5/11,17.22 ,
2016/5/12,20.00 ,
2016/5/13,16.11 ,
2016/5/14,18.06 ,
2016/5/15,11.39 ,
2016/5/16,12.50 ,
2016/5/17,14.44 ,
2016/5/18,15.56 ,
2016/5/19,17.50 ,
2016/5/20,18.06 ,
2016/5/21,15.56 ,
2016/5/22,16.11 ,
2016/5/23,19.44 ,
2016/5/24,18.61 ,
2016/5/25,23.61 ,
2016/5/26,26.39 ,
2016/5/27,26.67 ,
2016/5/28,27.50 ,
2016/5/29,25.83 ,
2016/5/30,23.89 ,
2016/5/31,25.56 ,
2016/6/1,23.61 ,
2016/6/2,21.11 ,
2016/6/3,19.17 ,
2016/6/4,23.61 ,
2016/6/5,20.00 ,
2016/6/6,23.33 ,
2016/6/7,23.61 ,
2016/6/8,15.28 ,
2016/6/9,16.94 ,
2016/6/10,19.44 ,
2016/6/11,23.06 ,
2016/6/12,22.50 ,
2016/6/13,18.61 ,
2016/6/14,20.28 ,
2016/6/15,23.06 ,
2016/6/16,20.83 ,
2016/6/17,21.39 ,
2016/6/18,23.33 ,
2016/6/19,25.00 ,
2016/6/20,23.33 ,
2016/6/21,26.39 ,
2016/6/22,25.00 ,
2016/6/23,24.44 ,
2016/6/24,24.17 ,
2016/6/25,23.89 ,
2016/6/26,25.00 ,
2016/6/27,23.89 ,
2016/6/28,22.22 ,
2016/6/29,23.89 ,
2016/6/30,24.44 ,
2016/7/1,22.50 ,
2016/7/2,20.83 ,
2016/7/3,21.67 ,
2016/7/4,23.89 ,
2016/7/5,25.28 ,
2016/7/6,28.33 ,
2016/7/7,28.33 ,
2016/7/8,24.72 ,
2016/7/9,20.28 ,
2016/7/10,22.78 ,
2016/7/11,22.78 ,
2016/7/12,23.89 ,
2016/7/13,25.56 ,
2016/7/14,26.94 ,
2016/7/15,28.61 ,
2016/7/16,28.06 ,
2016/7/17,27.78 ,
2016/7/18,28.06 ,
2016/7/19,25.56 ,
2016/7/20,24.72 ,
2016/7/21,26.94 ,
2016/7/22,28.89 ,
2016/7/23,31.11 ,
2016/7/24,29.17 ,
2016/7/25,28.33 ,
2016/7/26,26.94 ,
2016/7/27,28.06 ,
2016/7/28,29.44 ,
2016/7/29,25.00 ,
2016/7/30,25.83 ,
2016/7/31,23.61 ,
2016/8/1,23.61 ,
2016/8/2,23.06 ,
2016/8/3,22.78 ,
2016/8/4,23.33 ,
2016/8/5,24.44 ,
2016/8/6,26.39 ,
2016/8/7,25.56 ,
2016/8/8,25.83 ,
2016/8/9,26.11 ,
2016/8/10,26.94 ,
2016/8/11,28.06 ,
2016/8/12,28.33 ,
2016/8/13,31.39 ,
2016/8/14,30.00 ,
2016/8/15,29.17 ,
2016/8/16,28.06 ,
2016/8/17,27.22 ,
2016/8/18,25.83 ,
2016/8/19,27.22 ,
2016/8/20,24.72 ,
2016/8/21,26.39 ,
2016/8/22,22.22 ,
2016/8/23,21.94 ,
2016/8/24,25.56 ,
2016/8/25,25.28 ,
2016/8/26,28.06 ,
2016/8/27,27.22 ,
2016/8/28,26.94 ,
2016/8/29,28.06 ,
2016/8/30,25.28 ,
2016/8/31,27.50 ,
2016/9/1,23.33 ,
2016/9/2,23.06 ,
2016/9/3,21.39 ,
2016/9/4,22.50 ,
2016/9/5,23.61 ,
2016/9/6,24.17 ,
2016/9/7,25.56 ,
2016/9/8,26.67 ,
2016/9/9,28.33 ,
2016/9/10,27.78 ,
2016/9/11,23.89 ,
2016/9/12,21.11 ,
2016/9/13,23.06 ,
2016/9/14,26.11 ,
2016/9/15,19.72 ,
2016/9/16,19.44 ,
2016/9/17,20.00 ,
2016/9/18,24.44 ,
2016/9/19,22.50 ,
2016/9/20,23.89 ,
2016/9/21,24.44 ,
2016/9/22,24.17 ,
2016/9/23,24.17 ,
2016/9/24,18.06 ,
2016/9/25,16.67 ,
2016/9/26,17.78 ,
2016/9/27,20.56 ,
2016/9/28,16.94 ,
2016/9/29,15.83 ,
2016/9/30,14.17 ,
2016/10/1,15.00 ,
2016/10/2,15.56 ,
2016/10/3,18.89 ,
2016/10/4,18.06 ,
2016/10/5,15.56 ,
2016/10/6,17.78 ,
2016/10/7,18.89 ,
2016/10/8,17.22 ,
2016/10/9,14.44 ,
2016/10/10,13.06 ,
2016/10/11,12.50 ,
2016/10/12,15.28 ,
2016/10/13,15.56 ,
2016/10/14,12.50 ,
2016/10/15,12.78 ,
2016/10/16,16.11 ,
2016/10/17,22.22 ,
2016/10/18,23.33 ,
2016/10/19,23.89 ,
2016/10/20,18.89 ,
2016/10/21,17.22 ,
2016/10/22,11.11 ,
2016/10/23,11.67 ,
2016/10/24,12.50 ,
2016/10/25,8.61 ,
2016/10/26,6.94 ,
2016/10/27,8.61 ,
2016/10/28,8.06 ,
2016/10/29,10.83 ,
2016/10/30,18.33 ,
2016/10/31,9.44 ,
2016/11/1,9.44 ,
2016/11/2,16.67 ,
2016/11/3,18.06 ,
2016/11/4,12.22 ,
2016/11/5,11.67 ,
2016/11/6,11.11 ,
2016/11/7,8.33 ,
2016/11/8,11.94 ,
2016/11/9,12.22 ,
2016/11/10,8.89 ,
2016/11/11,11.11 ,
2016/11/12,6.39 ,
2016/11/13,10.56 ,
2016/11/14,12.22 ,
2016/11/15,10.83 ,
2016/11/16,11.67 ,
2016/11/17,12.78 ,
2016/11/18,12.22 ,
2016/11/19,10.00 ,
2016/11/20,3.33 ,
2016/11/21,3.61 ,
2016/11/22,3.89 ,
2016/11/23,4.44 ,
2016/11/24,6.11 ,
2016/11/25,9.72 ,
2016/11/26,7.22 ,
2016/11/27,6.94 ,
2016/11/28,7.22 ,
2016/11/29,13.06 ,
2016/11/30,12.22 ,
2016/12/1,8.89 ,
2016/12/2,7.50 ,
2016/12/3,6.67 ,
